Introduction	序章
"What's that, children?  You think we should reward our lackey here?"	"What's that, children?  You think we should reward our lackey here?"
"Very well, ex-frog.  I'll let you live this time.  Next time, though, it's frog legs for sure!"	"Very well, ex-frog.  I'll let you live this time.  Next time, though, it's frog legs for sure!"
"So... Go!" 	"So... Go!" 
"Stubborn, aren't you?"	"Stubborn, aren't you?"
Now, Oh-Soon-To-Be-Supper... I don't suppose you have a name?  	Now, Oh-Soon-To-Be-Supper... I don't suppose you have a name?  
"Well, if you won't be a sweet, then you'll be my meat!"	"Well, if you won't be a sweet, then you'll be my meat!"
"This I vow: Stay there now!"  	"This I vow: Stay there now!"  
Who would have guessed that little chicken hut would have this much room in it. 	Who would have guessed that little chicken hut would have this much room in it. 
You make a note to yourself to get the name of Baba Yaga's interior decorator. 	You make a note to yourself to get the name of Baba Yaga's interior decorator. 
The floor is tidy, with a pile of straw off the screen in one corner. 	The floor is tidy, with a pile of straw off the screen in one corner. 
A quick look around shows that this is a creepy place, despite the pot -- or is it a cauldron? -- simmering briskly on the fire.  Look at the size of that spider!  	A quick look around shows that this is a creepy place, despite the pot -- or is it a cauldron? -- simmering briskly on the fire.  Look at the size of that spider!  
The grisly remains of some man-like animal. 	The grisly remains of some man-like animal. 
Owning this skull helps Baba Yaga keep a head of the game.	Owning this skull helps Baba Yaga keep a head of the game.
Is that a SMILE on that spider's face?	Is that a SMILE on that spider's face?
You can almost read the spider's thoughts:  "Yes!  Yes!  Get your hand over here so I can eat!" 	You can almost read the spider's thoughts:  "Yes!  Yes!  Get your hand over here so I can eat!" 
Step into my parlor! 	Step into my parlor! 
The kitchen knives on the table look old but sharp.  You can't quite make out what is in the bottles.  	The kitchen knives on the table look old but sharp.  You can't quite make out what is in the bottles.  
Isn't that a telephone wire insulator? 	Isn't that a telephone wire insulator? 
You HATE houses with cobwebs in the corners, especially when there's an immense (and hungry-looking) spider squatting cheerily in the middle of the cobweb.  	You HATE houses with cobwebs in the corners, especially when there's an immense (and hungry-looking) spider squatting cheerily in the middle of the cobweb.  
You have to get there, first.	You have to get there, first.
You have second thoughts, and you decide not to attempt such a potentially dangerous excursion.	You have second thoughts, and you decide not to attempt such a potentially dangerous excursion.
What's to climb?	What's to climb?
Those are the biggest chicken legs you've ever seen.	Those are the biggest chicken legs you've ever seen.
The green slime dripping off of the fence top makes you realize that climbing is not a good idea.	The green slime dripping off of the fence top makes you realize that climbing is not a good idea.
The sharp ends of the fence are covered with some nasty-looking green slime.	The sharp ends of the fence are covered with some nasty-looking green slime.
This stuff reminds you of the slime eating the barstool away at the tavern.	This stuff reminds you of the slime eating the barstool away at the tavern.
Of course, most fences aren't poisoned on top!	Of course, most fences aren't poisoned on top!
You've seen one, you've seen them all, I say.	You've seen one, you've seen them all, I say.
"Baba Yaga is the most powerful Ogress around.  If you have any brains, you'll stay away from her."	"Baba Yaga is the most powerful Ogress around.  If you have any brains, you'll stay away from her."
"All the other skulls have glowing eyes.  But me?... noooo!  I don't need lovely glowing eyes!  Just open and close the gate, that's all I'm good for."	"All the other skulls have glowing eyes.  But me?... noooo!  I don't need lovely glowing eyes!  Just open and close the gate, that's all I'm good for."
"But if you can give me a glowing gem for my eyes, then I'll let you in the gate."	"But if you can give me a glowing gem for my eyes, then I'll let you in the gate."
"All I ask is for a little gem or jewel that glows in the dark. You're the big hero, so go find one!"	"All I ask is for a little gem or jewel that glows in the dark. You're the big hero, so go find one!"
"Baba Yaga's hut will squat if you say the rhyme."	"Baba Yaga's hut will squat if you say the rhyme."
"You're some hero if you don't even know what an ogre is."	"You're some hero if you don't even know what an ogre is."
"The hut will squat if you say, 'Hut of brown, Now sit down.'"	"The hut will squat if you say, 'Hut of brown, Now sit down.'"
"Those bone brains are Baba Yaga's spies, so they get glowing eyes."	"Those bone brains are Baba Yaga's spies, so they get glowing eyes."
Right!	Right!
"I won't let you in until I get a gem so I can see!"	"I won't let you in until I get a gem so I can see!"
"I don't need the fur.  I think the 'bald look' gives me a certain distinction, don't you?"	"I don't need the fur.  I think the 'bald look' gives me a certain distinction, don't you?"
The gate's gone.	The gate's gone.
The eyes of the large skull on the gate flash merrily away at you.	The eyes of the large skull on the gate flash merrily away at you.
The large skull on the gate seems to stare vacantly at you.	The large skull on the gate seems to stare vacantly at you.
This place already looks like a nightmare.  Eating magic mushrooms would likely make it even worse.	This place already looks like a nightmare.  Eating magic mushrooms would likely make it even worse.
"Oh, the rhyme.  Yeah, you're right, that was part of the deal.  O.k., the rhyme is 'Hut of Brown, Now Sit Down'."	"Oh, the rhyme.  Yeah, you're right, that was part of the deal.  O.k., the rhyme is 'Hut of Brown, Now Sit Down'."
Baba Yaga	Baba Yaga
Deal	Deal
Gem	Gem
Hut	Hut
Ogress	Ogress
Rhyme	Rhyme
Skulls	Skulls
The door is open, but hardly inviting.	The door is open, but hardly inviting.
The door of the hut is ornately decorated.	The door of the hut is ornately decorated.
The hut is a strange little house perched on chicken legs.	The hut is a strange little house perched on chicken legs.
The hut does not respond while the gate is closed. 	The hut does not respond while the gate is closed. 
Nothing happens.	Nothing happens.
You hear a voice in your head asking, 'What is the rhyme?'	You hear a voice in your head asking, 'What is the rhyme?'
